State,Name,Website,Description
AR,Arkansas School-Based Enterprises—Northside High School,none listed,"Focus: Public secondary-school juniors and seniors of all ability and academic levels.

Abstract: This is a school-based project to provide a realistic opportunity for students to experience the concepts learned in high school marketing courses. Students actually develop a business plan and carry it through to daily operational tasks, which increases their knowledge and abilities.

The comprehension of all facets of a business is enhanced. Reading about purchasing, inventory control, customer service, distribution, and finance is one thing—actually having to be responsible for start-up and operation of a school-based enterprise is a rewarding advantage for high school students."
AR,"Southern Arkansas University
Entrepreneurship—Opportunities for the New Millennium",none listed,"Focus: Four-year university

Abstract: To encourage potential entrepreneurs, SAU faculty and students formed a project team focusing on entrepreneurship. The project team developed a project: ""Entrepreneurship—Opportunities for the New Millennium."" The project has four phases:


1.  Media concentration: to educate listening audience (using cablevision, PSAs on radio stations, newspaper articles)

2.  Web page class: for hands-on development

3.  Workshop: to educate potential entrepreneurs (partnered with Small Business Development Center)

4.  Teach a Child about Business project: for hands-on development for children.
Media Concentration: The project team developed a seven-part cablevision series addressing issues such as how to get started in business, what issues new business owners might face, how to finance a new business, what ethical dilemmas might                           arise, how economic markets operate, and when to internationalize operations. Working with local entrepreneurs, the project team offered a variety of experienced-based cablevision programs to encourage the entrepreneurial spirit in potential business owners. Panel discussions were taped and aired on the local cablevision station. Entrepreneurs discussed their experiences and what they have learned about finance, ethics, taxes, responsible risk taking, and decision making. Student moderators focused on business issues by visiting with:

Minority entrepreneurs during February for Black History Month
Women entrepreneurs in real estate, law, and dentistry during March for Women's History
Women entrepreneurs in retail during March for Women's History Month
Young entrepreneurs (those under the age of 30) during March
Professors and bankers on economic issues during March
CEO, attorney, and dean of School of Business on ethical dilemmas during April
Executive in Residence on international issues during April
Web Page Class: The project team taught a class on Web page design. Entrepreneurs and small businesses can take advantage of the huge potential of the Internet by having their own Web page. The project team discussed e-commerce, taught the basics of Microsoft FrontPage, and created a hands-on approach to developing their own Web pages.

Workshop: The project team partnered with the Small Business Development Center to present a workshop, ""So You Want to Start Your Own Business."" The project team discussed key issues to help potential entrepreneurs understand the major steps considered crucial in starting a business; identified common factors as potential entrepreneurs plan their businesses; and provided take-home material as a resource to help answer other questions not addressed.

Teach a Child about Business Week Project The project team designed a hands-on project working with first and second graders. During ""Teach a Child about Business Week,"" the project team taught the children how businesses operate. Working with a local entrepreneur, the project team explained business concepts to the students and worked with them to create their own business. The elementary students did market research, prepared a business plan, secured a loan, made business decisions, ordered inventory, delivered the product, and decided what to do with profit. The product the students chose to sell was a carnation with a Valentine's Day message, tied with ribbons."
AZ,Arizona State University West,http://www.west.asu.edu/leep,"Focus: The Leadership for Educational Entrepreneurs (LEE) program is the first program in the nation to offer a graduate degree that blends courses from M.Ed. and MBA programs.

Abstract: Charter schools are independently run institutions funded by public money. A new breed of educational leaders heads these innovative schools. Business people are becoming educational leaders and educational leaders are becoming business people. Their leadership needs differ greatly from traditional aspiring school administrators, and LEE can provide resources and networks to meet those needs.

During the past few years, LEE has built a partnership of charter school and university leaders to develop a dynamic educational-management Masters degree for aspiring school administrators working in a market-based environment. The program is delivered through multiple methods: face-to-face, on-line and at regional sites. LEE includes eight (8) M.Ed. courses and four (4) MBA courses, one course at a time. Fellows design their own action research projects directly related to their individual interests and participate in a hands-on internship program.

This interdisciplinary union is notable because it moves beyond the boundaries of school-university partnerships traditionally focusing on teacher education and K-12 student programs.

Findings show that charter school owner/operators need a complex combination of pedagogical and entrepreneurial skills to provide a positive impact on student learning, maintain fiduciary responsibility to public monies, and excel in a market-based educational system. Critical issues such as assessment and accountability, instructional leadership, and financial management are addressed in this fast-track Master's program.

Leadership for Educational Entrepreneurs: Building strong leaders for increased student achievement."
AZ,"Central Arizona College
Small Business Management (Entrepreneurship)",www.cac.cc.az.us,"Focus: As a community college, we use three modalities:

1.  Traditional college classroom setting
2.  Online delivery for adults throughout Arizona and the United States
3.  Instruction for inmates at the Arizona State Prison

Abstract: The Small Business Development Program requires unique teaching methods and paradigms for each of the three delivery modes, although class outcomes, competencies, and syllabi are similar, assuring that the education is standardized across the delivery methods.

This program is designed to encourage students to set up and successfully manage their own small businesses. At the beginning of the semester the students select a business, either fictional or real, that they wish to develop. Over the next 16 weeks the students develop their business one step at a time, following the topics addressed in the textbook, online research, and/or lectures. Assignments are given to assist the student in putting each section of their business, and corresponding business plan, together.

By the end of the semester, the students will have completed a business plan, which will be submitted as their final project. Hopefully the students will use this business plan to successfully open their businesses. I have had many students actually begin their business during the class, and some are still ""surviving"" in these businesses.

One of the most unique features of my program is the high rate of online students who want to start their home-based business while at home with children. They otherwise would not have the chance to get this education. These students are anxious to try to succeed when most ""normal"" opportunities are not available to them because of family or time commitments.

Another unique feature is the opportunity to work with the inmates. These students will have a very difficult time finding employment upon their release, and have plenty of time to work on developing their own business ideas while incarcerated. These inmate students are anxious to learn and eager to begin their business plans. The idea of working for themselves is very exciting to them, and most of them have the knowledge and dedication to prove that they can be successful on their own."
AZ,"Northern Arizona University
Students in Free Enterprise",none listed,"Focus: University students who provide entrepreneurship education to school-age children (K–12); community college, trade school, and university students; adults; entrepreneurs; and small-business owners.

Abstract: Students in Free Enterprise (SIFE) projects serve as service learning opportunities for students at Northern Arizona University (NAU). Experiential learning encompasses a range of methods actively engaging learners in their learning. This pedagogical tool better prepares university students for the ""real world"" through the development of critical thinking, leadership, teamwork, and communication skills.

Over the past three years more than 80 entrepreneurship programs and projects have been developed and taught by NAU students involved in the unique organization called Students in Free Enterprise. SIFE engages a motivated student workforce in educational service projects providing entrepreneurship and free enterprise education to community members.

Since 1996, NAU SIFE has partnered with numerous agencies to design and present workshops on business and other important life skills. SIFE students teach a 6-week elementary school business project designed to teach young students how to start and operate a small business. This project has been delivered to 12 different elementary school classes in 7 different communities.

For the Institute for Future Workforce Development, SIFE delivered workshops at five different Native American youth conferences and developed home-based business training for participants in the Transition Works program. SIFE students engage in comprehensive consulting projects for numerous local small business owners. NAU SIFE students were responsible for the development of a microloan and business education program for aspiring local entrepreneurs.

The administrative and business training components of the microloan program are run by SIFE students in a cooperative structure with three other community development agencies. Additionally, entrepreneurial curriculum is delivered to many ""at-risk"" populations, including single unemployed mothers, alternative high school students, Native American youths, and juvenile probationers."
AZ,Tohono O'odham Community Action (TOCA),none listed,"Focus: Youth

Abstract: TOCA is a community organization in southern Arizona on the Tohono O'odham Reservation. TOCA works with youths to develop small-scale economic opportunities that draw upon their cultural heritage.

An example of such culturally appropriate youth enterprise is the Tohono O'odham Basketweavers Organization (TOBO), an artisans' network and marketing cooperative."
AZ,The University of Arizona,www.eller.arizona.edu/programs/berger,"Focus: University entrepreneurship program

Abstract: The mission of the Karl Eller Center is to promote and provide entrepreneurship education and business research within the Eller College of Business and Public Administration:

To link the business and academic communities
To conduct exchanges in entrepreneurship between faculty and students of the University of Arizona, the business community, other universities, and other countries
To conduct business/academic seminars and exchange programs including the Arizona Venture Forum, the Business Academic Dialogue, the SkiView Business Plans Competition, the Fathauer Lecture Series, and the Arizona Venture Competition.
In a time of exploding interest and change in entrepreneurship, the award winning Berger Entrepreneurship Program continually sets the standard for other programs nationwide, remaining in the forefront of innovation. Our comprehensive, interdisciplinary curriculum provides a stand alone major for undergraduate seniors, an area of concentration for MBA's, a certificate program for Associates in Technology Transfer students from technical-based colleges such as engineering, science, medicine, and agriculture, and a certificate program for Associates in Borderlands Business Development for students from Mexican-American and Native American Studies.

The center's support of quality faculty and research through named professorships and faculty programs college wide helps to blend the goals of promoting education and research, as does the development of cross college collaborations through the highly successful associates programs.

The Center's outreach programs are extensive, including the annual Arizona Venture Forum for Small Business, the Fathauer Lecture in Political Economy, the JAI Press series: Advances in the Study of Entrepreneurship, Innovation, and Economic Growth, and the annual statewide business plans competition, the Arizona Venture Competition.

The Karl Eller Center's Programs span all aspects of entrepreneurship and entrepreneurship education."
CA,"Businesses United in Investing, Lending and Development (BUILD)",www.build.org,"Focus: Our target population is high school students from under-resourced communities such as East Palo Alto and Oakland in California, and Washington, DC.

Geographic Area: California and Washington, DC

Age Level: High school students, 9th through 12th grades.

Abstract: All BUILD students participate in the following four-year program:

  Freshman Year - Entrepreneurs 1 (E1): Ninth-grade students meet with BUILD 7-10 hours per week for the entire academic year. In a credited, in-school elective with weekly evening mentoring sessions, students learn the fundamentals of business, the tenets of time management, goal-setting, and effective communication. Teams of 3-5 students develop 20- to 30-page business plans and supporting financials, with the assistance of volunteer mentors from the local professional community. They present and defend these plans at BUILD's Annual Youth Business Plan Competitions. There is no GPA requirement to enter BUILD.
  Sophomore Year - Entrepreneurs 2 (E2): Students meet after-school in BUILD's Youth Business and Academic Incubator for 3-6 hours per week for the academic year. With guidance from a volunteer Venture Capital Advisor, teams operate their small businesses while learning negotiations, business ethics, and more. Students work with BUILD's Academic Program Manager to ensure academic records suitable for college admission. To stay in BUILD, sophomores must begin to maintain a 2.0 GPA.
  Junior Year - Entrepreneurs 3 (E3): While still operating their businesses, students learn topics relating to college, including essay writing, interviewing, financial aid and standardized test preparation. Last year, BUILD students improved their SAT scores by an average of 337 points. BUILD organizes and leads students on local, state, and national college tours. To remain in BUILD, juniors must begin to maintain a 2.5 GPA.
  Senior Year - Entrepreneurs 4 (E4): Students' focus shifts from running businesses to applying to colleges. With the help of BUILD's College Advisor, they identify ""stretch"" and ""safety"" schools, write admissions essays, prepare college applications, and package their BUILD experience into portfolios. BUILD collaborates with parents/guardians to explore students' scholarship and financial-aid options and shepherds them through the school selection and enrollment processes.
To date, 100% of BUILD's seniors have graduated from high school and been accepted into a wide range of colleges and universities including Harvard, Stanford, Columbia, Emory, Wesleyan, UC Berkeley and Willamette, among others. Since our founding, we have served nearly a thousand students.

BUILD's goal is to empower more students from under-resourced communities to graduate from high school and access higher education. BUILD believes that all youth have the potential to be academic performers when given the right motivation, role modeling and instructional strategies."
CA,Beverly Hills High School—Sports Marketing: A Career for the 21st Century,none listed,"Focus: Senior high school

Abstract: Sports are a wonderful way to teach marketing to the high school student. Find out what it takes to create a sports marketing curriculum and introduce your students to this exciting career for the twenty-first century. Licensed products alone account for over $60 billion in annual revenue.

Steve Rappaport has found a way to effectively involve students in sports licensing and merchandising, endorsements, and event management and sponsorships. See what it takes to operate a sports-marketing school-based enterprise. Rappaport uses a variety of instructional activities that can add excitement to your classroom.

Steve has been employed at Beverly Hills High School since 1988 and is an ROP instructor and soccer coach. Working in conjunction with the Los Angeles County Regional Occupational Program, he has developed and implemented a successful sports marketing curriculum. In addition, Steve teaches hotel management, entrepreneurship, and a community internship course, and coordinates a Carl Perkins vocational grant."
CA,California Academy of Math and Science,www.californiaacademy.org,"Abstract: The California Academy of Math and Science High School / CAMS Inventors, Inc.serves 12th grade public high school students, plus 50-60 urban middle and elementary school classes that feed into the school. Over 50% of the students are eligible of the free federal food program.

Entrepreneurship is taught within my 12th grade economics classes. There are two long-term projects. One is the Econ Variety Show, Inc. that attempts to expose students to entrepreneurship and the free enterprise system in an experiential, creative, and student-centered way. Students choose from five different modalities (Research, Tutorial, Video, Technology, and Song) in which they acquire the skills and knowledge of entrepreneurial topics and present them in a formalized setting. The tutorial project involves students teaching concepts of entrepreneurship to local classes within school that feed into the school.

The other project, CAMS Inventors, Inc., is designed to give students a direct experience in developing a Start-Up company where the create an original product/service with an accompanying professional business plan, marketing and advertising, and a culminating event of a Business Convention.

The twin projects have been recognized as excellent entrepreneurship opportunities for high school students. They have both been presented at conferences (CASET, Entrepreneurship Education Forum, GATE) and showcased in USA-Today. Both projects are experiential in nature as students are allowed to freely choose areas to research and make presentations. There is a rich cultivation of skill development such as critical thinking, problem solving, organizational and leadership, presentation, and group cooperation development."
CA,"California State Polytechnic University, Pomona,",none listed,"Focus: The area of program emphasis is a university economic development program in partnership with community-based and private-sector organizations.

Abstract: The Small Business Mentor Program is an alliance with university affiliations and community-based and private-sector organizations. This combination of contributing entities brings about a rare blend of practical experience, institutional research, and community economic development, all focused on the revitalization of entrepreneurial businesses.

The target communities are low- and moderate-income, directly affected by small businesses in or immediately adjacent to them. Many of these businesses can be categorized as ""low risk"" due to a high level of compentency in a trade or service; however, they are ""high risk"" often due to a lack of business and financial management knowledge. These businesses often fail to grow, and some collapse. Business failures resulting from a lack of business and financial skills contribute to neighborhood economic blight, impeding community development.

A unique feature of the Small Business Mentor Program is that it provides personal and consistent guidance through mentors and integrated educational materials built on the fundamentals of small-business management. The content and structure of the program use the theory of multiple intelligences. This is not a ""return"" to the classroom program; rather, the Small Business Mentor Program is an ""incubator without walls."" Due to the one-on-one working relationship with the business owners, it is critical that the mentors, instructors, and service providers are sensitive to the fact that each individual learns differently; therefore, the multiple intelligences approach has been implemented.

The philosophy, as well as the organization, of the Small Business Mentor Program becomes more important when working in communities with a dominant ethnic population. Presently the target areas served by the Small Business Mentor Program have a substantial number of Hispanic business owners who qualify for the benefits of the program. Bilingual mentoring is provided, and business educational materials are available in Spanish.

The program provides each participating small-business owner with a financial management advisor (Financial Management Mentor) who provides continuing intensive guidance to the owner with regard to financial management of the business. This guidance includes business plan preparation and revision; assistance with the selection of, and applications for, public and private programs available to help such owners; loan, permit, and other application preparation; ongoing cash flow analysis; and all other aspects of financial management.

The Small Business Mentor Program's goal is to create a partnership with struggling small businesses, community economic development agencies, and financial institutions. A team approach is taken to find solutions, make changes, and revitalize each entrepreneurial venture for future growth."
CA,"California State University, Fresno",www.lylescenter.com,"Focus: $10,000 scholarship for high school and community college students that have started a business or are interested in starting a business and attending California State University, Fresno.

Geographic Area: Recruiting nationally to attend CSU, Fresno

Age Level: High school and seniors and community college students

Key Partners: Lyles Center for Innovation and Entrepreneurship at California State University, Fresno and The Coleman Foundation.

Abstract: The Scholarships in Entrepreneurship program provides high school and community college students, who have an existing business and enroll at Fresno State, the opportunity to showcase their entrepreneurial spirit. Three students will receive $10,000 each for supporting their education and expanding their business while in school. Students enrolling in Spring 2005 and Fall 2006 are eligible.

Selected students can use the funds toward tuition, student housing and books. Incorporated into the scholarships, students will be provided with office space in the new Lyles Center for Innovation and Entrepreneurship's ""Hatchery,"" an area where students receive mentoring, access to resources, a complete office, and access to facilities at the Lyles Center such as a board room and classrooms. The deadline for spring 2006 were to be submitted by December 15, 2005. Applications for fall 2006 must be submitted by May 1, 2006."
CA,"Camp Enterprise—The Rotary Club of San Diego, CA",none listed,"Abstract: Since 1976, the San Diego Rotary Club has sponsored Camp Enterprise in an effort to educate San Diego youths about the free-enterprise system and the world of business. Students learn from some of San Diego's top business leaders in a fun and educational environment at Camp Cedar Glen in Julian. Volunteer Rotarians and prominent San Diego business leaders serve as presenters, discussion group leaders, and team facilitators.

During the two to seven days of camp, the students work in teams to develop a business plan outline for the business they select. This year's industry topic is ""Business in Cyberspace,"" which requires students to work together to create a business using the Internet, or supplying those companies that do business on the Internet. The participating students come from over 20 different schools in San Diego, both public and private.

Through panel discussions and presentations, Camp Enterprise teaches the participants:

An understanding of the free-enterprise system, management, and labor;
How to start, organize, and run their own business;
How to use teamwork and creativity to prepare business and marketing plans;
How to accomplish a task, and how to prepare and deliver a presentation within a given time frame;
Business ethics; and
Maintaining charity and community involvement as a business person and leader."
